RTL First name	RTL Last name	RTL Full name	Entity ID	Latin full name	Search URL
ابراهيم منير	ناصر	ابراهيم منير ناصر	60813	Ibrahim Mulhim Nassar	https://www.mideastmed.org/search/people?first-name=ابراهيم منير&last-name=ناصر
حنا نقولا	خوري	حنا نقولا خوري	60814	Hana Nikula Khuri	https://www.mideastmed.org/search/people?first-name=حنا نقولا&last-name=خوري
زاهي	حداد	زاهي حداد	60815	Zahi Ibrahim Shadid Haddad	https://www.mideastmed.org/search/people?first-name=زاهي&last-name=حداد
خليل محمود	ابو غزالة	خليل محمود ابو غزالة	60816	Khalil Mahmud Abu Ghazala	https://www.mideastmed.org/search/people?first-name=خليل محمود&last-name=ابو غزالة
هاشم	موسى	هاشم موسى	60817	Hashim Musa	https://www.mideastmed.org/search/people?first-name=هاشم&last-name=موسى
نعيم سلمان	قنطران	نعيم سلمان قنطران	60818	Naʻim Salman Qutran	https://www.mideastmed.org/search/people?first-name=نعيم سلمان&last-name=قنطران
طنوس	قعوار	طنوس قعوار	60819	Tanus Qaʻwar	https://www.mideastmed.org/search/people?first-name=طنوس&last-name=قعوار
حسين فخري	الخالدي	حسين فخري الخالدي	60820	Husayn Fakhri al-Khalidi	https://www.mideastmed.org/search/people?first-name=حسين فخري&last-name=الخالدي
خليل صالح	سابا	خليل صالح سابا	60821	Khalil Salih Saba	https://www.mideastmed.org/search/people?first-name=خليل صالح&last-name=سابا
حليم	ابو رحمة	حليم ابو رحمة	60822	Halim Mansur Abu Rahma	https://www.mideastmed.org/search/people?first-name=حليم&last-name=ابو رحمة
فوزي خليل	ابلة	فوزي خليل ابلة	60823	Fawzi Khalil Abla	https://www.mideastmed.org/search/people?first-name=فوزي خليل&last-name=ابلة
سعيد نمر	سليمان	سعيد نمر سليمان	60824	Saʻid Nimr Sulayman	https://www.mideastmed.org/search/people?first-name=سعيد نمر&last-name=سليمان
رداد شهبان	غزالة	رداد شهبان غزالة	60825	Radad Shahban Ghazala	https://www.mideastmed.org/search/people?first-name=رداد شهبان&last-name=غزالة
فريد	حداد	فريد حداد	60826	Farid Iskandar Haddad	https://www.mideastmed.org/search/people?first-name=فريد&last-name=حداد
طاهر	الخطيب	طاهر الخطيب	60827	Tahir al-Khatib	https://www.mideastmed.org/search/people?first-name=طاهر&last-name=الخطيب
الياس جورجي	سكرية	الياس جورجي سكرية	60828	Ilias Jurji Sikaria	https://www.mideastmed.org/search/people?first-name=الياس جورجي&last-name=سكرية
كامل	عيد	كامل عيد	60829	Kamil Jibril ʻId	https://www.mideastmed.org/search/people?first-name=كامل&last-name=عيد
مانوق باغداسا	إرديكيان	مانوق باغداسا إرديكيان	60830	Manouq Baghdassa Erdikian	https://www.mideastmed.org/search/people?first-name=مانوق باغداسا&last-name=إرديكيان
جورج	جريج	جورج جريج	60831	George Jurayj	https://www.mideastmed.org/search/people?first-name=جورج&last-name=جريج
يوسف جرجس	حجار	يوسف جرجس حجار	60832	Yusuf Jirjis Hajjar	https://www.mideastmed.org/search/people?first-name=يوسف جرجس&last-name=حجار
ابراهيم خليل	جبجي	ابراهيم خليل جبجي	60833	Ibrahim Khalil Jabaji	https://www.mideastmed.org/search/people?first-name=ابراهيم خليل&last-name=جبجي
يوسف ج.	نجار	يوسف ج. نجار	60834	Yusuf G. Najjar	https://www.mideastmed.org/search/people?first-name=يوسف ج.&last-name=نجار
حنا سعد الله	قسيس	حنا سعد الله قسيس	60835	Saʻd Hana Allah Qasis	https://www.mideastmed.org/search/people?first-name=حنا سعد الله&last-name=قسيس
نايف أمين	حمزة	نايف أمين حمزة	60836	Na’if Amin Hamza	https://www.mideastmed.org/search/people?first-name=نايف أمين&last-name=حمزة
زكي	احسان	زكي احسان	60837	Zaki Ihsan	https://www.mideastmed.org/search/people?first-name=زكي&last-name=احسان
احسان	زكي	احسان زكي	60838	Ihsan Zaki	https://www.mideastmed.org/search/people?first-name=احسان&last-name=زكي
جبريل انطوان	خولي	جبريل انطوان خولي	60839	Jibril Antwan Khawli	https://www.mideastmed.org/search/people?first-name=جبريل انطوان&last-name=خولي
نقولا شحادة	ابو جريس	نقولا شحادة ابو جريس	60840	Nikula Shihada	https://www.mideastmed.org/search/people?first-name=نقولا شحادة&last-name=ابو جريس
ربان خلطر	سماحة	ربان خلطر سماحة	60841	Raban Khaltar Samaha	https://www.mideastmed.org/search/people?first-name=ربان خلطر&last-name=سماحة
زكي امين	ابو السعود	زكي امين ابو السعود	60842	Zaki Amin Abu al-Saʻud	https://www.mideastmed.org/search/people?first-name=زكي امين&last-name=ابو السعود
اديب اسكندر	حداد	اديب اسكندر حداد	60843	Adib Iskandar Haddad	https://www.mideastmed.org/search/people?first-name=اديب اسكندر&last-name=حداد
صموئيل	سربيان	صموئيل سربيان	60844	Samuel Serbian	https://www.mideastmed.org/search/people?first-name=صموئيل&last-name=سربيان
ولي	صالح	ولي صالح	60845	Veli Salih	https://www.mideastmed.org/search/people?first-name=ولي&last-name=صالح
نازاريت	ياغليان	نازاريت ياغليان	60846	Nazaret Yaghlian	https://www.mideastmed.org/search/people?first-name=نازاريت&last-name=ياغليان
اسبير جرجس	نصار	اسبير جرجس نصار	60847	Isbir Jurjis Nassar	https://www.mideastmed.org/search/people?first-name=اسبير جرجس&last-name=نصار
حسام	ابو السعود	حسام ابو السعود	60848	Husam al-Din Abu al-Saʻud	https://www.mideastmed.org/search/people?first-name=حسام&last-name=ابو السعود
سليم محمد	ياسين	سليم محمد ياسين	60849	Salim Muhammad Yasin	https://www.mideastmed.org/search/people?first-name=سليم محمد&last-name=ياسين
محمود	حمدي	محمود حمدي	60850	Mahmud Hamdi	https://www.mideastmed.org/search/people?first-name=محمود&last-name=حمدي
بطرس سليمان	صالح	بطرس سليمان صالح	60851	Butrus Sulayman Salih	https://www.mideastmed.org/search/people?first-name=بطرس سليمان&last-name=صالح
توفيق عبدالله	مخلوف	توفيق عبدالله مخلوف	60852	Tawfiq ʻAbdalla Makhluf	https://www.mideastmed.org/search/people?first-name=توفيق عبدالله&last-name=مخلوف
فائز	ذهبي	فائز ذهبي	60853	Fa’iz Dhahabi	https://www.mideastmed.org/search/people?first-name=فائز&last-name=ذهبي
فؤاد	الدجاني	فؤاد الدجاني	60854	Fu’ad al-Dajani	https://www.mideastmed.org/search/people?first-name=فؤاد&last-name=الدجاني
 صبري عز الدين	قدورة	 صبري عز الدين قدورة	60855	Sabri ʻIzz al-Din َQadura	https://www.mideastmed.org/search/people?first-name= صبري عز الدين&last-name=قدورة
سامح	الفخوري	سامح الفخوري	60856	Samih Fakhuri	https://www.mideastmed.org/search/people?first-name=سامح&last-name=الفخوري
نصري بشارة	عطالله	نصري بشارة عطالله	60857	Nasri Bishara ʻAtalla	https://www.mideastmed.org/search/people?first-name=نصري بشارة&last-name=عطالله
توفيق داؤد	مسوبة	توفيق داؤد مسوبة	60858	Tawfiq Da’ud Musawba	https://www.mideastmed.org/search/people?first-name=توفيق داؤد&last-name=مسوبة
احمد حلمي	زكي	احمد حلمي زكي	60859	Ahmad Hilmi Zaki	https://www.mideastmed.org/search/people?first-name=احمد حلمي&last-name=زكي
نديم	صلاح الدين	نديم صلاح الدين	60862	Nadim Salah al-Din	https://www.mideastmed.org/search/people?first-name=نديم&last-name=صلاح الدين
جورج انطون	عرقتنجي	جورج انطون عرقتنجي	60863	George Antun ʻAraqtinji	https://www.mideastmed.org/search/people?first-name=جورج انطون&last-name=عرقتنجي
توفيق موسى	منسيان	توفيق موسى منسيان	60864	Tawfiq Musa Minassian	https://www.mideastmed.org/search/people?first-name=توفيق موسى&last-name=منسيان
أرماناك أ.	خاشدوريان	أرماناك أ. خاشدوريان	60865	Armanak A. Khashdorian	https://www.mideastmed.org/search/people?first-name=أرماناك أ.&last-name=خاشدوريان
عثمان خمرة	الصغير	عثمان خمرة الصغير	60866	ʻUthman Khamra al-Saghir	https://www.mideastmed.org/search/people?first-name=عثمان خمرة&last-name=الصغير
يوسف	داؤد	يوسف داؤد	60867	Yusuf Da’ud	https://www.mideastmed.org/search/people?first-name=يوسف&last-name=داؤد
محمد نعمان سعيد	عرفات	محمد نعمان سعيد عرفات	60868	Muhammad Naʻman Saʻid ʻArafat	https://www.mideastmed.org/search/people?first-name=محمد نعمان سعيد&last-name=عرفات
ميهائسل أ.	شماس	ميهائسل أ. شماس	60869	Mikha’il Ibrahim Shammas	https://www.mideastmed.org/search/people?first-name=ميهائسل أ.&last-name=شماس
محمد	خليل	محمد خليل	60870	Muhammad ʻAtiya Khalil	https://www.mideastmed.org/search/people?first-name=محمد&last-name=خليل
